student_id	full_name	date_of_birth	gender	email	phone_number	address	class_id	enrollment_year	gpa	credits_completed	status
SV20210364	T?ng Th?y	2004-05-10	FEMALE	tngthy364@student.edu.vn	0948395993	9734 Sa Point	13	2021	3.21	98	INACTIVE
SV20210365	Phan ?inh	2003-03-24	MALE	phaninh365@student.edu.vn	0911367435	043 ?? Lakes	15	2021	3.13	112	SUSPENDED
SV20210366	?o�n L�m Phan	2002-09-16	MALE	onlmphan366@student.edu.vn	0970896313	88235 ??ng Mountains	11	2021	2.27	121	INACTIVE
SV20210367	Ph�ng B�i Nhung Phan	2002-04-27	MALE	phngbinhungphan367@student.edu.vn	0910716702	19217 Tr?n Spur	16	2021	2.67	85	ACTIVE
SV20210368	T� T�m Vinh	2006-03-01	FEMALE	ttmvinh368@student.edu.vn	0920115740	379 Sa Well	12	2021	3.70	101	ACTIVE
SV20210369	H� Kha	2005-07-26	MALE	hkha369@student.edu.vn	0989707495	8750 Khoa Port	13	2021	3.84	95	SUSPENDED
SV20210372	Mai Ph�ng Th? S?n	2005-01-13	FEMALE	maiphngthsn372@student.edu.vn	0926330329	283 Kim Creek	16	2021	2.55	99	ACTIVE
SV20210373	L�m V? T�	2001-08-16	MALE	lmvt373@student.edu.vn	0904658098	563 Thanh Dam	11	2021	3.13	123	SUSPENDED
SV20210374	Ho�ng Thu S?n	2003-11-14	MALE	hongthusn374@student.edu.vn	0929957820	9635 Th? Glens	16	2021	3.25	85	INACTIVE
SV20210375	Mai Sinh Vinh L�	2005-08-10	FEMALE	maisinhvinhl375@student.edu.vn	0974815350	85986 Tr??ng Crest	12	2021	2.92	101	INACTIVE
SV20210376	V??ng H� Th?y	2001-08-09	FEMALE	vnghthy376@student.edu.vn	0937786386	610 ??ng Ford	12	2021	3.56	120	INACTIVE
SV20210377	L� ?? Th?m Minh	2005-09-24	FEMALE	lthmminh377@student.edu.vn	0924154257	3091 Minh Plaza	11	2021	3.27	104	ACTIVE
SV20210378	L�m Tr??ng C??ng Th?o	2005-02-21	FEMALE	lmtrngcngtho378@student.edu.vn	0910497020	495 Ph�ng Court	11	2021	2.55	126	SUSPENDED
SV20210379	?inh Khang T�m Nguy?n	2003-07-18	MALE	inhkhangtmnguyn379@student.edu.vn	0961309830	76021 B�i Plaza	11	2021	2.26	103	INACTIVE
SV20210380	V??ng V??ng Thanh	2000-02-04	FEMALE	vngvngthanh380@student.edu.vn	0938385381	7233 Tr??ng Locks	11	2021	2.67	138	ACTIVE
SV20210381	L� Tr??ng V??ng Ng?c	2003-07-14	FEMALE	ltrngvngngc381@student.edu.vn	0917855415	516 Ti?n Key	15	2021	3.63	99	INACTIVE
SV20210382	Phan Ph�	2003-09-25	MALE	phanph382@student.edu.vn	0946960295	784 Tu�n Ville	16	2021	2.44	109	SUSPENDED
SV20210383	Tr??ng Th?o	2002-06-20	MALE	trngtho383@student.edu.vn	0921916855	669 Phan Place	16	2021	3.78	125	SUSPENDED
SV20210385	D??ng ?inh H?	2005-03-12	MALE	dnginhh385@student.edu.vn	0999932352	4499 ?o�n Turnpike	13	2021	3.54	100	INACTIVE
SV20210386	?o�n H� Thi V?	2002-11-27	MALE	onhthiv386@student.edu.vn	0986986640	25563 Th?o Club	11	2021	2.88	92	SUSPENDED
SV20210387	L� Tr??ng Hi?n Trung	2002-11-04	FEMALE	ltrnghintrung387@student.edu.vn	0984668254	1121 H?i Throughway	11	2021	2.68	126	ACTIVE
